producer,release_to_review_time, used_real_name, verified_purchase, rating, helpfulness, number_of_votes, length_of_review_text
Acer,53,0,1,5,1,31,419
Acer,60,0,0,5,0.929,14,386
Acer,71,0,0,4,1,3,141
Acer,64,0,0,2,0.737,19,873
Acer,78,0,1,5,0.5,4,108
Acer,66,0,1,1,0.333,21,521
Acer,62,0,1,4,1,28,1867
Acer,78,0,0,4,1,9,1857
Acer,71,0,0,5,0.875,8,1302
Acer,89,0,1,4,1,1,707
Acer,93,0,0,5,0,0,223
Acer,76,1,1,1,0.417,12,386
Acer,61,1,1,5,1,6,568
Acer,79,0,1,5,1,5,2172
Acer,69,0,1,5,0.6,5,567
Acer,79,0,0,5,0.571,7,178
Acer,86,1,1,3,0,1,873
Acer,31,0,0,5,0.984,64,2051
Acer,23,0,1,5,0.933,30,1377
Acer,47,0,0,4,1,9,1812
Acer,28,1,1,4,1,8,905
Acer,6,1,0,5,0.784,37,365
Acer,26,1,0,5,1,6,505
Acer,49,1,1,4,1,5,404
Acer,45,0,1,5,1,5,1174
Acer,42,0,1,4,1,5,116
Acer,6,0,0,5,0.778,18,562
Acer,49,1,1,5,1,3,172
Acer,26,0,1,5,1,3,379
Acer,6,0,0,5,0.733,15,635
Acer,67,0,1,5,1,2,1091
Acer,62,0,0,4,0.8,5,2202
Acer,39,0,1,5,0.75,4,332
Acer,28,0,1,3,0.667,36,2217
Acer,28,0,1,5,0.667,6,1255
Acer,79,0,1,4,0,0,244
Acer,78,0,0,5,0,0,305
Acer,17,0,0,5,0.6,5,227
Acer,76,0,0,3,0,2,286
Acer,75,1,0,2,0,2,1332
Acer,78,1,0,1,0,3,975
Acer,25,0,1,4,0.333,9,1198
Acer,7,0,0,4,0.238,21,840
Acer,35,0,1,1,0.227,22,832
Acer,9,0,1,1,0.111,54,418
Acer,19,0,1,5,0.931,29,1394
Acer,73,0,1,5,1,10,2769
Acer,73,0,1,5,0.917,12,1653
Acer,84,0,1,4,0.667,3,1121
Acer,86,0,1,5,0,0,314
Acer,62,0,1,4,1,6,244
Acer,35,0,1,4,0.8,20,442
Acer,65,0,1,1,0.875,8,858
Acer,67,0,0,5,1,2,98
Acer,84,0,0,5,1,1,127
Acer,82,0,0,5,1,1,125
Acer,60,0,1,4,0.25,8,228
Acer,57,1,1,4,0.952,21,2856
